Rank,ÿÿÿWord,Part of speech,Frequency,Dispersion
652,ÿÿÿrisk,n,60432,0.94
653,ÿÿÿcurrent,j,61252,0.92
654,ÿÿÿfire,n,59386,0.95
655,ÿÿÿfuture,n,58020,0.97
656,ÿÿÿwrong,j,58988,0.95
657,ÿÿÿinvolve,v,59542,0.94
658,ÿÿÿdefense,n,59701,0.94
659,ÿÿÿanyone,p,58274,0.96
660,ÿÿÿincrease,v,60442,0.93
661,ÿÿÿsecurity,n,58914,0.95
662,ÿÿÿbank,n,58992,0.94
663,ÿÿÿmyself,p,59716,0.93
664,ÿÿÿcertainly,r,59739,0.93
665,ÿÿÿwest,n,58169,0.95
666,ÿÿÿsport,n,59006,0.94
667,ÿÿÿboard,n,58436,0.95
668,ÿÿÿseek,v,58495,0.94
669,ÿÿÿper,i,59432,0.93
670,ÿÿÿsubject,n,61397,0.9
671,ÿÿÿofficer,n,57617,0.96
672,ÿÿÿprivate,j,57248,0.96
673,ÿÿÿrest,n,56714,0.97
674,ÿÿÿbehavior,n,62625,0.88
675,ÿÿÿdeal,v,57462,0.96
676,ÿÿÿperformance,n,59909,0.92
677,ÿÿÿfight,v,56886,0.96
678,ÿÿÿthrow,v,57784,0.95
679,ÿÿÿtop,n,57743,0.95
680,ÿÿÿquickly,r,56454,0.97
681,ÿÿÿpast,j,56588,0.96
682,ÿÿÿgoal,n,58728,0.93
683,ÿÿÿsecond,n,56022,0.97
684,ÿÿÿbed,n,60304,0.9
685,ÿÿÿorder,n,56483,0.96
686,ÿÿÿauthor,n,58300,0.93
687,ÿÿÿfill,v,56915,0.95
688,ÿÿÿrepresent,v,58744,0.92
689,ÿÿÿfocus,v,57177,0.94
690,ÿÿÿforeign,j,57540,0.94
691,ÿÿÿdrop,v,56448,0.95
692,ÿÿÿplan,v,55829,0.96
693,ÿÿÿblood,n,56351,0.95
694,ÿÿÿupon,i,57033,0.94
695,ÿÿÿagency,n,56954,0.94
696,ÿÿÿpush,v,56103,0.95
697,ÿÿÿnature,n,57929,0.92
698,ÿÿÿcolor,n,56978,0.94
699,ÿÿÿno,r,54602,0.98
700,ÿÿÿrecently,r,55992,0.95
701,ÿÿÿstore,n,56147,0.95
702,ÿÿÿreduce,v,57029,0.93
703,ÿÿÿsound,n,56828,0.94
704,ÿÿÿnote,v,57025,0.93
705,ÿÿÿfine,j,55174,0.96
706,ÿÿÿbefore,r,55608,0.95
707,ÿÿÿnear,i,54869,0.96
708,ÿÿÿmovement,n,56201,0.94
709,ÿÿÿpage,n,55937,0.94
710,ÿÿÿenter,v,54479,0.96
711,ÿÿÿshare,v,54010,0.97
712,ÿÿÿthan,i,55719,0.94
713,ÿÿÿcommon,j,55940,0.93
714,ÿÿÿpoor,j,53820,0.97
715,ÿÿÿother,p,54372,0.96
716,ÿÿÿnatural,j,55526,0.94
717,ÿÿÿrace,n,54838,0.95
718,ÿÿÿconcern,n,55203,0.94
719,ÿÿÿseries,n,54549,0.95
720,ÿÿÿsignificant,j,58947,0.88
721,ÿÿÿsimilar,j,55901,0.92
722,ÿÿÿhot,j,54601,0.95
723,ÿÿÿlanguage,n,55799,0.92
724,ÿÿÿeach,p,53663,0.96
725,ÿÿÿusually,r,53477,0.96
726,ÿÿÿresponse,n,56342,0.91
727,ÿÿÿdead,j,55111,0.93
728,ÿÿÿrise,v,53542,0.95
729,ÿÿÿanimal,n,53127,0.96
730,ÿÿÿfactor,n,57612,0.89
731,ÿÿÿdecade,n,53727,0.95
732,ÿÿÿarticle,n,54871,0.93
733,ÿÿÿshoot,v,53038,0.95
734,ÿÿÿeast,n,53010,0.95
735,ÿÿÿsave,v,52067,0.97
736,ÿÿÿseven,m,52011,0.97
737,ÿÿÿartist,n,54353,0.92
738,ÿÿÿaway,i,52005,0.96
739,ÿÿÿscene,n,51248,0.97
740,ÿÿÿstock,n,54305,0.91
741,ÿÿÿcareer,n,52101,0.95
742,ÿÿÿdespite,i,51526,0.96
743,ÿÿÿcentral,j,52501,0.94
744,ÿÿÿeight,m,50871,0.97
745,ÿÿÿthus,r,57039,0.87
746,ÿÿÿtreatment,n,53390,0.92
747,ÿÿÿbeyond,i,50742,0.97
748,ÿÿÿhappy,j,51669,0.95
749,ÿÿÿexactly,r,52685,0.93
750,ÿÿÿprotect,v,50649,0.97
751,ÿÿÿapproach,n,53980,0.91
752,ÿÿÿlie,v,51657,0.95
753,ÿÿÿsize,n,51868,0.95
754,ÿÿÿdog,n,52347,0.94
755,ÿÿÿfund,n,53859,0.91
756,ÿÿÿserious,j,50285,0.97
757,ÿÿÿoccur,v,52768,0.93
758,ÿÿÿmedia,n,51798,0.94
759,ÿÿÿready,j,50833,0.96
760,ÿÿÿsign,n,50045,0.98
761,ÿÿÿthought,n,51509,0.95
762,ÿÿÿlist,n,50678,0.96
763,ÿÿÿindividual,n,54738,0.89
764,ÿÿÿsimple,j,50583,0.96
765,ÿÿÿquality,n,52224,0.93
766,ÿÿÿpressure,n,50773,0.96
767,ÿÿÿaccept,v,49952,0.97
768,ÿÿÿanswer,n,49969,0.97
769,ÿÿÿhard,r,50793,0.95
770,ÿÿÿresource,n,53398,0.9
771,ÿÿÿidentify,v,53484,0.9
772,ÿÿÿleft,j,50479,0.95
773,ÿÿÿmeeting,n,49916,0.96
774,ÿÿÿdetermine,v,52130,0.92
775,ÿÿÿprepare,v,49208,0.98
776,ÿÿÿdisease,n,51211,0.94
777,ÿÿÿwhatever,d,50200,0.96
778,ÿÿÿsuccess,n,50541,0.95
779,ÿÿÿargue,v,51013,0.94
780,ÿÿÿcup,n,53633,0.89
781,ÿÿÿparticularly,r,50329,0.95
782,ÿÿÿamount,n,49944,0.95
783,ÿÿÿability,n,51476,0.93
784,ÿÿÿstaff,n,50177,0.95
785,ÿÿÿrecognize,v,50042,0.95
786,ÿÿÿindicate,v,53215,0.89
787,ÿÿÿcharacter,n,49530,0.96
788,ÿÿÿgrowth,n,50904,0.93
789,ÿÿÿloss,n,49759,0.95
790,ÿÿÿdegree,n,50612,0.94
791,ÿÿÿwonder,v,50875,0.93
792,ÿÿÿattack,n,50898,0.93
793,ÿÿÿherself,p,52915,0.89
794,ÿÿÿregion,n,50914,0.93
795,ÿÿÿtelevision,n,49673,0.95
796,ÿÿÿbox,n,49667,0.95
797,ÿÿÿTV,n,49438,0.95
798,ÿÿÿtraining,n,49997,0.93
799,ÿÿÿpretty,r,50385,0.93
800,ÿÿÿtrade,n,49696,0.94
801,ÿÿÿdeal,n,48975,0.95
802,ÿÿÿelection,n,51322,0.91
803,ÿÿÿeverybody,p,51147,0.91
804,ÿÿÿphysical,j,51451,0.9
805,ÿÿÿlay,v,49358,0.94
806,ÿÿÿgeneral,j,49657,0.93
807,ÿÿÿfeeling,n,47349,0.98
808,ÿÿÿstandard,n,49876,0.93
809,ÿÿÿbill,n,49011,0.94
810,ÿÿÿmessage,n,47533,0.97
811,ÿÿÿfail,v,47503,0.97
812,ÿÿÿoutside,i,46628,0.98
813,ÿÿÿarrive,v,47435,0.97
814,ÿÿÿanalysis,n,53840,0.85
815,ÿÿÿbenefit,n,48594,0.94
816,ÿÿÿname,v,47375,0.97
817,ÿÿÿsex,n,47827,0.95
818,ÿÿÿforward,r,47877,0.95
819,ÿÿÿlawyer,n,47853,0.95
820,ÿÿÿpresent,v,49659,0.92
821,ÿÿÿsection,n,49764,0.91
822,ÿÿÿenvironmental,j,51192,0.88
823,ÿÿÿglass,n,49686,0.91
824,ÿÿÿanswer,v,47661,0.95
825,ÿÿÿskill,n,50431,0.9
826,ÿÿÿsister,n,48183,0.94
827,ÿÿÿPM,r,54765,0.82
828,ÿÿÿprofessor,n,46575,0.97
829,ÿÿÿoperation,n,47276,0.95
830,ÿÿÿfinancial,j,47803,0.94
831,ÿÿÿcrime,n,48010,0.93
832,ÿÿÿstage,n,46346,0.97
833,ÿÿÿok,r,54697,0.82
834,ÿÿÿcompare,v,48094,0.93
835,ÿÿÿauthority,n,47309,0.94
836,ÿÿÿmiss,v,46525,0.96
837,ÿÿÿdesign,n,48605,0.92
838,ÿÿÿsort,n,47086,0.95
839,ÿÿÿone,n,45596,0.98
840,ÿÿÿact,v,45648,0.98
841,ÿÿÿten,m,46827,0.95
842,ÿÿÿknowledge,n,50335,0.88
843,ÿÿÿgun,n,47305,0.94
844,ÿÿÿstation,n,46299,0.96
845,ÿÿÿblue,j,47622,0.93
846,ÿÿÿstate,v,47977,0.93
847,ÿÿÿstrategy,n,49126,0.9
848,ÿÿÿlittle,d,45469,0.97
849,ÿÿÿclearly,r,45912,0.96
850,ÿÿÿdiscuss,v,46852,0.94
851,ÿÿÿindeed,r,46184,0.95
852,ÿÿÿforce,v,44931,0.97
853,ÿÿÿtruth,n,45155,0.97
854,ÿÿÿsong,n,45352,0.96
855,ÿÿÿexample,n,47134,0.93
856,ÿÿÿdemocratic,j,47299,0.92
857,ÿÿÿcheck,v,45760,0.95
858,ÿÿÿenvironment,n,47807,0.91
859,ÿÿÿleg,n,47477,0.91
860,ÿÿÿdark,j,47565,0.91
861,ÿÿÿpublic,n,45684,0.95
862,ÿÿÿvarious,j,46777,0.92
863,ÿÿÿrather,r,44934,0.96
864,ÿÿÿlaugh,v,48567,0.89
865,ÿÿÿguess,v,48046,0.9
866,ÿÿÿexecutive,n,47338,0.91
867,ÿÿÿset,n,45121,0.96
868,ÿÿÿstudy,v,44897,0.96
869,ÿÿÿprove,v,44304,0.97
870,ÿÿÿhang,v,46632,0.92
871,ÿÿÿentire,j,43997,0.98
872,ÿÿÿrock,n,45225,0.95
873,ÿÿÿdesign,v,45946,0.94
874,ÿÿÿenough,d,44378,0.97
875,ÿÿÿforget,v,45571,0.94
876,ÿÿÿsince,i,45591,0.94
877,ÿÿÿclaim,v,44259,0.97
878,ÿÿÿnote,n,44720,0.96
879,ÿÿÿremove,v,44683,0.96
880,ÿÿÿmanager,n,46187,0.93
881,ÿÿÿhelp,n,43721,0.98
882,ÿÿÿclose,j,43568,0.98
883,ÿÿÿsound,v,45311,0.94
884,ÿÿÿenjoy,v,44020,0.97
885,ÿÿÿnetwork,n,45122,0.94
886,ÿÿÿlegal,j,44820,0.95
887,ÿÿÿreligious,j,46425,0.91
888,ÿÿÿcold,j,44649,0.95
889,ÿÿÿform,v,44646,0.95
890,ÿÿÿfinal,j,43589,0.97
891,ÿÿÿmain,j,43707,0.97
892,ÿÿÿscience,n,45726,0.92
893,ÿÿÿgreen,j,44673,0.94
894,ÿÿÿmemory,n,43531,0.97
895,ÿÿÿcard,n,43605,0.96
896,ÿÿÿabove,i,44130,0.95
897,ÿÿÿseat,n,44404,0.95
898,ÿÿÿcell,n,44831,0.94
899,ÿÿÿestablish,v,45921,0.91
900,ÿÿÿnice,j,44792,0.93
901,ÿÿÿtrial,n,44489,0.94
902,ÿÿÿexpert,n,43898,0.95
903,ÿÿÿthat,r,43359,0.96
904,ÿÿÿspring,n,44085,0.95
905,ÿÿÿfirm,n,44704,0.93
906,ÿÿÿDemocrat,n,46905,0.88
907,ÿÿÿradio,n,43156,0.96
908,ÿÿÿvisit,v,42941,0.96
909,ÿÿÿmanagement,n,45112,0.92
910,ÿÿÿcare,v,42978,0.96
911,ÿÿÿavoid,v,42890,0.96
912,ÿÿÿimagine,v,43487,0.95
913,ÿÿÿtonight,r,47549,0.87
914,ÿÿÿhuge,j,42582,0.96
915,ÿÿÿball,n,43512,0.94
916,ÿÿÿno,u,44951,0.91
917,ÿÿÿclose,r,42826,0.95
918,ÿÿÿfinish,v,43143,0.95
919,ÿÿÿyourself,p,43401,0.94
920,ÿÿÿtalk,n,43267,0.94
921,ÿÿÿtheory,n,45553,0.9
922,ÿÿÿimpact,n,43782,0.93
923,ÿÿÿrespond,v,42139,0.96
924,ÿÿÿstatement,n,42941,0.94
925,ÿÿÿmaintain,v,43493,0.93
926,ÿÿÿcharge,n,42353,0.95
927,ÿÿÿpopular,j,42399,0.95
928,ÿÿÿtraditional,j,43681,0.92
929,ÿÿÿonto,i,43538,0.92
930,ÿÿÿreveal,v,42605,0.94
931,ÿÿÿdirection,n,41280,0.97
932,ÿÿÿweapon,n,43158,0.93
933,ÿÿÿemployee,n,42824,0.93
934,ÿÿÿcultural,j,45673,0.87
935,ÿÿÿcontain,v,42542,0.94
936,ÿÿÿpeace,n,42273,0.94
937,ÿÿÿhead,v,41658,0.95
938,ÿÿÿcontrol,v,41771,0.95
939,ÿÿÿbase,n,41154,0.96
940,ÿÿÿpain,n,41350,0.96
941,ÿÿÿapply,v,42391,0.93
942,ÿÿÿplay,n,41662,0.95
943,ÿÿÿmeasure,n,43938,0.9
944,ÿÿÿwide,j,41233,0.96
945,ÿÿÿshake,v,45160,0.87
946,ÿÿÿfly,v,41373,0.95
947,ÿÿÿinterview,n,41594,0.95
948,ÿÿÿmanage,v,40536,0.97
949,ÿÿÿchair,n,43256,0.91
950,ÿÿÿfish,n,41488,0.95
951,ÿÿÿparticular,j,42291,0.93
952,ÿÿÿcamera,n,41218,0.95
953,ÿÿÿstructure,n,43638,0.9
954,ÿÿÿpolitics,n,41758,0.94
955,ÿÿÿperform,v,41667,0.94
956,ÿÿÿbit,n,41915,0.93
957,ÿÿÿweight,n,41919,0.93
958,ÿÿÿsuddenly,r,43382,0.9
959,ÿÿÿdiscover,v,40489,0.97
960,ÿÿÿcandidate,n,43251,0.9
961,ÿÿÿtop,j,41484,0.94
962,ÿÿÿproduction,n,42052,0.93
963,ÿÿÿtreat,v,40264,0.97
964,ÿÿÿtrip,n,40423,0.96
965,ÿÿÿevening,n,40881,0.95
966,ÿÿÿaffect,v,41496,0.93
967,ÿÿÿinside,i,40856,0.95
968,ÿÿÿconference,n,40643,0.95
969,ÿÿÿunit,n,41087,0.94
970,ÿÿÿbest,r,39959,0.97
971,ÿÿÿstyle,n,40889,0.94
972,ÿÿÿadult,n,40705,0.95
973,ÿÿÿworry,v,40210,0.96
974,ÿÿÿrange,n,41326,0.93
975,ÿÿÿmention,v,39815,0.97
976,ÿÿÿrather,i,41558,0.93
977,ÿÿÿfar,j,39967,0.96
978,ÿÿÿdeep,j,40126,0.96
979,ÿÿÿpast,n,39559,0.97
980,ÿÿÿedge,n,40960,0.94
981,ÿÿÿindividual,j,42325,0.9
982,ÿÿÿspecific,j,42397,0.9
983,ÿÿÿwriter,n,39666,0.96
984,ÿÿÿtrouble,n,39659,0.96
985,ÿÿÿnecessary,j,40776,0.93
986,ÿÿÿthroughout,i,40170,0.95
987,ÿÿÿchallenge,n,40380,0.94
988,ÿÿÿfear,n,38857,0.98
989,ÿÿÿshoulder,n,42843,0.89
990,ÿÿÿinstitution,n,42153,0.9
991,ÿÿÿmiddle,j,40402,0.94
992,ÿÿÿsea,n,39516,0.96
993,ÿÿÿdream,n,39613,0.96
994,ÿÿÿbar,n,39853,0.95
995,ÿÿÿbeautiful,j,40052,0.94
996,ÿÿÿproperty,n,40027,0.94
997,ÿÿÿinstead,r,39051,0.97
998,ÿÿÿimprove,v,40214,0.94
999,ÿÿÿstuff,n,40180,0.94
1000,ÿÿÿdetail,n,38750,0.97
1001,ÿÿÿmethod,n,42667,0.88
1002,ÿÿÿsign,v,39418,0.95
1003,ÿÿÿsomebody,p,41639,0.9
1004,ÿÿÿmagazine,n,39197,0.96
1005,ÿÿÿhotel,n,39642,0.95
1006,ÿÿÿsoldier,n,39552,0.95
1007,ÿÿÿreflect,v,40687,0.92
1008,ÿÿÿheavy,j,39160,0.96
1009,ÿÿÿsexual,j,41865,0.89
1010,ÿÿÿcause,n,38843,0.96
1011,ÿÿÿbag,n,40007,0.93
1012,ÿÿÿheat,n,40363,0.92
1013,ÿÿÿfall,n,38822,0.96
1014,ÿÿÿmarriage,n,38517,0.96
1015,ÿÿÿtough,j,39600,0.94
1016,ÿÿÿsing,v,38575,0.96
1017,ÿÿÿsurface,n,39367,0.94
1018,ÿÿÿpurpose,n,40084,0.92
1019,ÿÿÿexist,v,39341,0.94
1020,ÿÿÿpattern,n,40397,0.91
1021,ÿÿÿwhom,p,37950,0.97
1022,ÿÿÿskin,n,39893,0.92
1023,ÿÿÿagent,n,38265,0.96
1024,ÿÿÿowner,n,39492,0.93
1025,ÿÿÿmachine,n,38407,0.96
1026,ÿÿÿgas,n,38194,0.96
1027,ÿÿÿdown,i,39633,0.93
1028,ÿÿÿahead,r,39705,0.92
1029,ÿÿÿgeneration,n,38323,0.96
1030,ÿÿÿcommercial,j,40608,0.9
1031,ÿÿÿaddress,v,39774,0.92
1032,ÿÿÿcancer,n,39407,0.93
1033,ÿÿÿtest,v,38644,0.95
1034,ÿÿÿitem,n,40336,0.91
1035,ÿÿÿreality,n,38397,0.95
1036,ÿÿÿcoach,n,40716,0.9
1037,ÿÿÿstep,v,39356,0.93
1038,ÿÿÿMrs,n,40545,0.9
1039,ÿÿÿyard,n,39253,0.93
1040,ÿÿÿbeat,v,38268,0.95
1041,ÿÿÿviolence,n,38474,0.94
1042,ÿÿÿtotal,j,38798,0.93
1043,ÿÿÿtend,v,38295,0.94
1044,ÿÿÿinvestment,n,38810,0.93
1045,ÿÿÿdiscussion,n,39616,0.91
1046,ÿÿÿfinger,n,40842,0.88
1047,ÿÿÿgarden,n,38800,0.93
1048,ÿÿÿnotice,v,38910,0.92
1049,ÿÿÿcollection,n,38431,0.93
1050,ÿÿÿmodern,j,38372,0.93
1051,ÿÿÿtask,n,39209,0.91
1052,ÿÿÿpartner,n,37540,0.95
1053,ÿÿÿpositive,j,39310,0.91
1054,ÿÿÿcivil,j,37742,0.95
1055,ÿÿÿkitchen,n,39332,0.91
1056,ÿÿÿconsumer,n,38079,0.94
1057,ÿÿÿshot,n,37505,0.95
1058,ÿÿÿbudget,n,39165,0.91
1059,ÿÿÿwish,v,37532,0.95
1060,ÿÿÿpainting,n,39264,0.91
1061,ÿÿÿscientist,n,37700,0.94
1062,ÿÿÿsafe,j,36547,0.97
1063,ÿÿÿagreement,n,38141,0.93
1064,ÿÿÿcapital,n,37443,0.95
1065,ÿÿÿmouth,n,40200,0.88
1066,ÿÿÿnor,c,37230,0.95
1067,ÿÿÿvictim,n,36878,0.96
1068,ÿÿÿnewspaper,n,37522,0.94
1069,ÿÿÿinstead,i,36247,0.97
1070,ÿÿÿthreat,n,37022,0.95
1071,ÿÿÿresponsibility,n,37084,0.95
1072,ÿÿÿsmile,v,41473,0.85
1073,ÿÿÿattorney,n,37959,0.92
1074,ÿÿÿscore,n,39294,0.89
1075,ÿÿÿaccount,n,36786,0.95
1076,ÿÿÿinteresting,j,37473,0.93
1077,ÿÿÿbreak,n,40348,0.86
1078,ÿÿÿaudience,n,36227,0.96
1079,ÿÿÿrich,j,35940,0.97
1080,ÿÿÿdinner,n,37156,0.94
1081,ÿÿÿfigure,v,36137,0.96
1082,ÿÿÿvote,n,39464,0.88
1083,ÿÿÿwestern,j,37389,0.93
1084,ÿÿÿrelate,v,39143,0.89
1085,ÿÿÿtravel,v,35746,0.97
1086,ÿÿÿdebate,n,37228,0.93
1087,ÿÿÿprevent,v,36421,0.95
1088,ÿÿÿcitizen,n,36408,0.95
1089,ÿÿÿmajority,n,36758,0.94
1090,ÿÿÿnone,p,35359,0.98
1091,ÿÿÿfront,i,37363,0.92
1092,ÿÿÿborn,v,35352,0.97
1093,ÿÿÿadmit,v,35143,0.97
1094,ÿÿÿsenior,j,36598,0.93
1095,ÿÿÿassume,v,35960,0.95
1096,ÿÿÿwind,n,36478,0.94
1097,ÿÿÿkey,j,36056,0.95
1098,ÿÿÿprofessional,j,36319,0.93
1099,ÿÿÿmission,n,35217,0.96
1100,ÿÿÿfast,r,35474,0.95
1101,ÿÿÿalone,r,34982,0.96
1102,ÿÿÿcustomer,n,36000,0.94
1103,ÿÿÿsuffer,v,34675,0.97
1104,ÿÿÿspeech,n,35504,0.95
1105,ÿÿÿsuccessful,j,35459,0.95
1106,ÿÿÿoption,n,35434,0.95
1107,ÿÿÿparticipant,n,41462,0.81
1108,ÿÿÿsouthern,j,35314,0.95
1109,ÿÿÿfresh,j,35974,0.93
1110,ÿÿÿeventually,r,34534,0.97
1111,ÿÿÿno,p,35016,0.96
1112,ÿÿÿforest,n,35429,0.94
1113,ÿÿÿvideo,n,35230,0.95
1114,ÿÿÿglobal,j,36381,0.92
1115,ÿÿÿSenate,n,36809,0.91
1116,ÿÿÿreform,n,36103,0.92
1117,ÿÿÿaccess,n,35310,0.94
1118,ÿÿÿrestaurant,n,35898,0.93
1119,ÿÿÿjudge,n,35464,0.94
1120,ÿÿÿpublish,v,35062,0.95
1121,ÿÿÿcost,v,34941,0.95
1122,ÿÿÿrelation,n,36963,0.89
1123,ÿÿÿlike,c,35636,0.93
1124,ÿÿÿrelease,v,34301,0.96
1125,ÿÿÿown,v,34577,0.95
1126,ÿÿÿbird,n,34835,0.94
1127,ÿÿÿopinion,n,34501,0.95
1128,ÿÿÿcredit,n,34578,0.95
1129,ÿÿÿcritical,j,35824,0.92
1130,ÿÿÿcorner,n,35496,0.93
1131,ÿÿÿconcerned,j,34331,0.96
1132,ÿÿÿrecall,v,34442,0.95
1133,ÿÿÿversion,n,34456,0.95
1134,ÿÿÿstare,v,39266,0.83
1135,ÿÿÿsafety,n,34188,0.96
1136,ÿÿÿeffective,j,35851,0.91
1137,ÿÿÿneighborhood,n,34691,0.94
1138,ÿÿÿoriginal,j,34368,0.95
1139,ÿÿÿact,n,34104,0.96
1140,ÿÿÿtroop,n,36001,0.91
1141,ÿÿÿincome,n,34925,0.93
1142,ÿÿÿdirectly,r,34090,0.96
1143,ÿÿÿhurt,v,34445,0.94
1144,ÿÿÿspecies,n,35804,0.91
1145,ÿÿÿimmediately,r,33067,0.98
1146,ÿÿÿtrack,n,33788,0.96
1147,ÿÿÿbasic,j,34788,0.93
1148,ÿÿÿstrike,v,33238,0.97
1149,ÿÿÿhope,n,33019,0.98
1150,ÿÿÿsky,n,35141,0.92
1151,ÿÿÿfreedom,n,34174,0.94
1152,ÿÿÿabsolutely,r,36740,0.88
1153,ÿÿÿplane,n,33900,0.95
1154,ÿÿÿnobody,p,34280,0.94
1155,ÿÿÿachieve,v,35166,0.92
1156,ÿÿÿobject,n,35040,0.92
1157,ÿÿÿattitude,n,35437,0.91
1158,ÿÿÿlabor,n,34400,0.93
1159,ÿÿÿrefer,v,34317,0.94
1160,ÿÿÿconcept,n,35944,0.89
1161,ÿÿÿclient,n,34027,0.94
1162,ÿÿÿpowerful,j,33151,0.97
1163,ÿÿÿperfect,j,33456,0.96
1164,ÿÿÿnine,m,32967,0.97
1165,ÿÿÿtherefore,r,35842,0.89
1166,ÿÿÿconduct,v,34909,0.91
1167,ÿÿÿannounce,v,33305,0.96
1168,ÿÿÿconversation,n,33046,0.96
1169,ÿÿÿexamine,v,35826,0.89
1170,ÿÿÿtouch,v,34737,0.92
1171,ÿÿÿplease,r,34709,0.92
1172,ÿÿÿattend,v,33380,0.95
1173,ÿÿÿcompletely,r,32550,0.98
1174,ÿÿÿvote,v,35224,0.9
1175,ÿÿÿvariety,n,34242,0.93
1176,ÿÿÿsleep,v,34801,0.91
1177,ÿÿÿturn,n,32944,0.96
1178,ÿÿÿinvolved,j,33428,0.95
1179,ÿÿÿinvestigation,n,33849,0.94
1180,ÿÿÿnuclear,j,34264,0.92
1181,ÿÿÿresearcher,n,34742,0.91
1182,ÿÿÿpress,n,33410,0.94
1183,ÿÿÿconflict,n,34710,0.91
1184,ÿÿÿspirit,n,32942,0.96
1185,ÿÿÿexperience,v,34009,0.92
1186,ÿÿÿreplace,v,32688,0.96
1187,ÿÿÿBritish,j,32929,0.95
1188,ÿÿÿencourage,v,33348,0.94
1189,ÿÿÿargument,n,33394,0.94
1190,ÿÿÿby,r,32560,0.96
1191,ÿÿÿonce,c,32180,0.97
1192,ÿÿÿcamp,n,32659,0.95
1193,ÿÿÿbrain,n,32852,0.95
1194,ÿÿÿfeature,n,33344,0.93
1195,ÿÿÿafternoon,n,33202,0.94
1196,ÿÿÿAM,r,34451,0.9
1197,ÿÿÿweekend,n,33239,0.93
1198,ÿÿÿdozen,m,32432,0.96
1199,ÿÿÿpossibility,n,32466,0.95
1200,ÿÿÿalong,r,32475,0.95
1201,ÿÿÿinsurance,n,32928,0.94
1202,ÿÿÿdepartment,n,32252,0.96
1203,ÿÿÿbattle,n,31989,0.96
1204,ÿÿÿbeginning,n,31866,0.97
1205,ÿÿÿdate,n,31467,0.98
1206,ÿÿÿgenerally,r,33191,0.93
1207,ÿÿÿAfrican,j,34557,0.89
1208,ÿÿÿvery,j,31807,0.96
1209,ÿÿÿsorry,j,34270,0.89
1210,ÿÿÿcrisis,n,32924,0.93
1211,ÿÿÿcomplete,v,32813,0.93
1212,ÿÿÿfan,n,32919,0.93
1213,ÿÿÿstick,v,32259,0.94
1214,ÿÿÿdefine,v,33958,0.9
1215,ÿÿÿeasily,r,31755,0.96
1216,ÿÿÿthrough,r,31838,0.96
1217,ÿÿÿhole,n,32302,0.94
1218,ÿÿÿelement,n,33053,0.92
1219,ÿÿÿvision,n,32358,0.94
1220,ÿÿÿstatus,n,33511,0.91
1221,ÿÿÿnormal,j,31265,0.97
1222,ÿÿÿChinese,j,32334,0.94
1223,ÿÿÿship,n,32588,0.93
1224,ÿÿÿsolution,n,32052,0.94
1225,ÿÿÿstone,n,32531,0.93
1226,ÿÿÿslowly,r,33403,0.9
1227,ÿÿÿscale,n,34375,0.88
1228,ÿÿÿbit,r,32087,0.94
1229,ÿÿÿuniversity,n,33000,0.91
1230,ÿÿÿintroduce,v,31345,0.96
1231,ÿÿÿdriver,n,31633,0.95
1232,ÿÿÿattempt,n,31944,0.94
1233,ÿÿÿpark,n,32322,0.93
1234,ÿÿÿspot,n,31612,0.95
1235,ÿÿÿlack,n,32157,0.93
1236,ÿÿÿice,n,31686,0.95
1237,ÿÿÿboat,n,32079,0.93
1238,ÿÿÿdrink,v,32078,0.93
1239,ÿÿÿsun,n,32646,0.92
1240,ÿÿÿfront,j,32087,0.93
1241,ÿÿÿdistance,n,31380,0.95
1242,ÿÿÿwood,n,31801,0.93
1243,ÿÿÿhandle,v,30634,0.97
1244,ÿÿÿtruck,n,31536,0.94
1245,ÿÿÿreturn,n,31058,0.95
1246,ÿÿÿmountain,n,31322,0.94
1247,ÿÿÿsurvey,n,32784,0.9
1248,ÿÿÿsupposed,j,31005,0.95
1249,ÿÿÿtradition,n,32110,0.92
1250,ÿÿÿwinter,n,31227,0.95
1251,ÿÿÿvillage,n,30741,0.96
1252,ÿÿÿSoviet,j,36193,0.82
1253,ÿÿÿrefuse,v,30173,0.98
1254,ÿÿÿsales,n,32145,0.91
1255,ÿÿÿroll,v,31592,0.93
1256,ÿÿÿcommunication,n,31577,0.93
1257,ÿÿÿrun,n,31325,0.94
1258,ÿÿÿscreen,n,30758,0.95
1259,ÿÿÿgain,v,30667,0.95
1260,ÿÿÿresident,n,31836,0.92
1261,ÿÿÿhide,v,31098,0.94
1262,ÿÿÿgold,n,30733,0.95
1263,ÿÿÿclub,n,30800,0.95
1264,ÿÿÿfuture,j,31494,0.92
1265,ÿÿÿfarm,n,30291,0.96
1266,ÿÿÿpotential,j,31289,0.93
1267,ÿÿÿincrease,n,31247,0.93
1268,ÿÿÿmiddle,n,30199,0.96
1269,ÿÿÿEuropean,j,31455,0.92
1270,ÿÿÿpresence,n,30624,0.95
1271,ÿÿÿindependent,j,31044,0.93
1272,ÿÿÿdistrict,n,31327,0.92
1273,ÿÿÿshape,n,30396,0.95
1274,ÿÿÿreader,n,31442,0.92
1275,ÿÿÿMs,n,31610,0.91
1276,ÿÿÿcontract,n,30906,0.93
1277,ÿÿÿcrowd,n,30542,0.94
1278,ÿÿÿChristian,j,30726,0.94
1279,ÿÿÿexpress,v,30947,0.93
